speciesname,flower color,flower sex,flowering lag time: number of days from exposition start to flowering,flowering requirement (requirement for fertility),fruit type,plant flowering,plant growth form,plant growth temperature range,plant height,plant human usage types,plant lifespan (longevity),plant lifespan: age trees reach in forested stands,plant woodiness,seed germination base temperature,seed germination base water potential,seed germination lag time,seed germination requirement,seed germination temperature,seed germination type,wood growth ring distinction
Acacia abbreviata,,,,,,,Shrub,,,,,,,,,,,,,
Acacia abrupta,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia acanthaster,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia acanthoclada,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia acellerata,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia acinacea,,,,,,,Shrub,,,,,,woody,,,,,,,
Acacia aciphylla,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia acoma,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia acradenia,,,,,,,shrub,,,,,,woody,,,,,,,
Acacia acrionastes,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia acuaria,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia aculeatissima,,,,,,,Shrub,,,,,,woody,,,,,,,
Acacia aculeiformis,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia acuminata,,,,,,,shrub/tree/woody,,,,,,W,,,,,,,
Acacia acutata,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia adenogonia,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia adinophylla,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia adnata,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia adoxa,,,,,,,shrub/woody,,,,,,W,,,,,,,
Acacia adsurgens,,,,,,,shrub,,,,,,woody,,,,,,,
Acacia adunca,,,,,,,shrub/tree/woody,,,,,,W,,,,,,,
Acacia aemula,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia aestivalis,,,,,,,shrub/tree/woody,,,,,,W,,,,,,,
