speciesname,flower color,flower sex,flowering lag time: number of days from exposition start to flowering,flowering requirement (requirement for fertility),fruit type,plant flowering,plant growth form,plant growth temperature range,plant height,plant human usage types,plant lifespan (longevity),plant lifespan: age trees reach in forested stands,plant woodiness,seed germination base temperature,seed germination base water potential,seed germination lag time,seed germination requirement,seed germination temperature,seed germination type,wood growth ring distinction
Acacia acanthoclada,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia acrionastes,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia acuminata,,,,,,,shrub/tree/woody,,,,,,W,,,,,,,
Acacia adoxa,,,,,,,shrub/woody,,,,,,W,,,,,,,
Acacia adunca,,,,,,,shrub/tree/woody,,,,,,W,,,,,,,
Acacia aestivalis,,,,,,,shrub/tree/woody,,,,,,W,,,,,,,
Acacia alcockii,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia alleniana,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia amblygona,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia ammobia,,,,,,,tree,,,,,,woody,,,,,,,
Acacia amoena,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia anceps,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia ancistrocarpa,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia aneura,,,,,,,tree,,,,perennial > 20 years,,woody,,,,long dormancy,,,
Acacia anfractuosa,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia anthochaera,,,,,,,shrub/tree/woody,,,,,,W,,,,,,,
Acacia aphylla,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia aprica,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia argyrophylla,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia ascendens,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia asepala,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia aspera,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia assimilis,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia atkinsiana,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia aulacocarpa,,,,,,,tree,,,,,,W,,,,,,,
Acacia aureocrinita,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia auriculiformis,,,,,,,tree,,,,,,woody,,,,,,,
Acacia ausfeldii,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia baeuerlenii,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia bakeri,,,,,,,tree,,,,,,woody,,,,,,,
Acacia barringtonensis,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia baueri,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia beadleana,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia beauverdiana,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia betchei,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia bifaria,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia binervata,,,,,,,tree / shrub,,,,>50,,W,,,,,,,
Acacia binervia,,,,,,,tree,,,,,,W,,,,,,,diffuse
Acacia bivenosa,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia blakei,,,,,,,tree/woody,,,,,,woody,,,,,,,
